86,1946-001,dissent
84,1946-001,voted with majority or plurality
81,1946-001,voted with majority or plurality
80,1946-001,special concurrence
79,1946-001,voted with majority or plurality
78,1946-001,voted with majority or plurality
85,1946-001,voted with majority or plurality
82,1946-001,voted with majority or plurality
87,1946-001,voted with majority or plurality
86,1946-002,voted with majority or plurality
84,1946-002,dissent
81,1946-002,voted with majority or plurality
80,1946-002,voted with majority or plurality
79,1946-002,voted with majority or plurality
78,1946-002,dissent
85,1946-002,special concurrence
82,1946-002,dissent
87,1946-002,voted with majority or plurality
86,1946-003,dissent
84,1946-003,voted with majority or plurality
81,1946-003,dissent
80,1946-003,dissent
79,1946-003,dissent
78,1946-003,voted with majority or plurality
85,1946-003,voted with majority or plurality
82,1946-003,voted with majority or plurality
87,1946-003,voted with majority or plurality
86,1946-004,dissent
84,1946-004,no vote
81,1946-004,voted with majority or plurality
80,1946-004,voted with majority or plurality
79,1946-004,dissent
78,1946-004,special concurrence
85,1946-004,dissent
82,1946-004,voted with majority or plurality
87,1946-004,judgment of the Court
87,1946-005,voted with majority or plurality
78,1946-005,voted with majority or plurality
79,1946-005,dissent
80,1946-005,dissent
81,1946-005,voted with majority or plurality
82,1946-005,voted with majority or plurality
84,1946-005,dissent
85,1946-005,voted with majority or plurality
86,1946-005,voted with majority or plurality
86,1946-006,voted with majority or plurality
84,1946-006,voted with majority or plurality
81,1946-006,voted with majority or plurality
80,1946-006,voted with majority or plurality
79,1946-006,voted with majority or plurality
78,1946-006,dissent
85,1946-006,voted with majority or plurality
82,1946-006,no vote
87,1946-006,voted with majority or plurality
86,1946-007,voted with majority or plurality
84,1946-007,no vote
81,1946-007,no vote
80,1946-007,regular concurrence
79,1946-007,no vote
78,1946-007,voted with majority or plurality
85,1946-007,special concurrence
82,1946-007,voted with majority or plurality
87,1946-007,voted with majority or plurality
86,1946-008,voted with majority or plurality
84,1946-008,voted with majority or plurality
81,1946-008,voted with majority or plurality
80,1946-008,voted with majority or plurality
79,1946-008,voted with majority or plurality
78,1946-008,voted with majority or plurality
85,1946-008,voted with majority or plurality
82,1946-008,voted with majority or plurality
87,1946-008,voted with majority or plurality
86,1946-009,voted with majority or plurality
84,1946-009,voted with majority or plurality
81,1946-009,voted with majority or plurality
80,1946-009,voted with majority or plurality
79,1946-009,voted with majority or plurality
78,1946-009,voted with majority or plurality
85,1946-009,voted with majority or plurality
82,1946-009,voted with majority or plurality
87,1946-009,voted with majority or plurality
86,1946-010,regular concurrence
84,1946-010,regular concurrence
81,1946-010,voted with majority or plurality
80,1946-010,regular concurrence
79,1946-010,no vote
78,1946-010,voted with majority or plurality
85,1946-010,voted with majority or plurality
82,1946-010,voted with majority or plurality
87,1946-010,voted with majority or plurality
86,1946-011,voted with majority or plurality
84,1946-011,voted with majority or plurality
81,1946-011,dissent
80,1946-011,voted with majority or plurality
79,1946-011,voted with majority or plurality
78,1946-011,dissent
85,1946-011,dissent
82,1946-011,dissent
87,1946-011,voted with majority or plurality
86,1946-012,dissent
84,1946-012,special concurrence
81,1946-012,voted with majority or plurality
80,1946-012,dissent
79,1946-012,voted with majority or plurality
78,1946-012,voted with majority or plurality
85,1946-012,voted with majority or plurality
82,1946-012,voted with majority or plurality
87,1946-012,dissent
86,1946-013,voted with majority or plurality
84,1946-013,voted with majority or plurality
81,1946-013,voted with majority or plurality
80,1946-013,voted with majority or plurality
79,1946-013,voted with majority or plurality
78,1946-013,voted with majority or plurality
85,1946-013,voted with majority or plurality
82,1946-013,voted with majority or plurality
87,1946-013,voted with majority or plurality
86,1946-014,voted with majority or plurality
84,1946-014,voted with majority or plurality
81,1946-014,voted with majority or plurality
80,1946-014,voted with majority or plurality
79,1946-014,voted with majority or plurality
78,1946-014,voted with majority or plurality
85,1946-014,voted with majority or plurality
82,1946-014,voted with majority or plurality
87,1946-014,voted with majority or plurality
86,1946-015,voted with majority or plurality
84,1946-015,voted with majority or plurality
81,1946-015,voted with majority or plurality
80,1946-015,voted with majority or plurality
